INSTRUMENTO,FECHA,PRECIO SUCIO
52_ACTI500_A,2016-12-30,4.584352
52_ACTI500_B1,2016-12-30,3.473738
52_ACTI500_B2,2016-12-30,3.762451
52_ACTI500_B3,2016-12-30,3.899159
52_ACTI500_D,2016-12-30,4.417945
52_ACTIPAT_A,2016-12-30,13.66474
52_ACTIPAT_B,2016-12-30,11.447988
52_ACTIPAT_FF,2016-12-30,13.664971
52_ACTIPAT_I,2016-12-30,13.531811
52_ACTI500_A,2018-01-02,5.250272
52_ACTI500_B1,2018-01-02,3.863685
52_ACTI500_B2,2018-01-02,4.216747
52_ACTI500_B3,2018-01-02,4.387888
52_ACTI500_D,2018-01-02,4.961245
52_ACTIPAT_A,2018-01-02,14.948201
52_ACTIPAT_B,2018-01-02,12.154703
52_ACTI500_A,2018-01-03,5.239563
52_ACTI500_B1,2018-01-03,3.855497
52_ACTI500_B2,2018-01-03,4.207898
52_ACTI500_B3,2018-01-03,4.378729
52_ACTI500_D,2018-01-03,4.950861
52_ACTIPAT_A,2018-01-03,15.170182
52_ACTIPAT_B,2018-01-03,12.334201
52_ACTI500_A,2018-01-04,5.243706
52_ACTI500_B1,2018-01-04,3.858239
52_ACTI500_B2,2018-01-04,4.210978
52_ACTI500_B3,2018-01-04,4.381982
52_ACTI500_D,2018-01-04,4.954512
52_ACTIPAT_A,2018-01-04,15.122114
52_ACTIPAT_B,2018-01-04,12.294121
52_ACTI500_A,2018-01-05,5.239691
52_ACTI500_B1,2018-01-05,3.854979
52_ACTI500_B2,2018-01-05,4.207507
52_ACTI500_B3,2018-01-05,4.378419
52_ACTI500_D,2018-01-05,4.950454
52_ACTIPAT_A,2018-01-05,15.110572
52_ACTIPAT_B,2018-01-05,12.283742
52_ACTI500_A,2018-01-08,5.249993
52_ACTI500_B1,2018-01-08,3.861638
52_ACTI500_B2,2018-01-08,4.215035
52_ACTI500_B3,2018-01-08,4.3864
52_ACTI500_D,2018-01-08,4.959393
52_ACTIPAT_A,2018-01-08,15.167908
52_ACTIPAT_B,2018-01-08,12.327352
52_ACTI500_A,2018-01-09,5.268239
52_ACTI500_B1,2018-01-09,3.87475
52_ACTI500_B2,2018-01-09,4.229435
52_ACTI500_B3,2018-01-09,4.401434
52_ACTI500_D,2018-01-09,4.976362
52_ACTIPAT_A,2018-01-09,15.153925
52_ACTIPAT_B,2018-01-09,12.314989
52_ACTI500_A,2018-01-10,5.289489
52_ACTI500_B1,2018-01-10,3.890071
52_ACTI500_B2,2018-01-10,4.246246
52_ACTI500_B3,2018-01-10,4.418977
52_ACTI500_D,2018-01-10,4.996168
52_ACTIPAT_A,2018-01-10,15.089974
52_ACTIPAT_B,2018-01-10,12.262024
52_ACTI500_A,2018-01-11,5.324211
52_ACTI500_B1,2018-01-11,3.915295
52_ACTI500_B2,2018-01-11,4.273868
52_ACTI500_B3,2018-01-11,4.447773
52_ACTI500_D,2018-01-11,5.028696
52_ACTIPAT_A,2018-01-11,14.854922
52_ACTIPAT_B,2018-01-11,12.070043
52_ACTI500_A,2018-01-12,5.316745
52_ACTI500_B1,2018-01-12,3.909494
52_ACTI500_B2,2018-01-12,4.267624
52_ACTI500_B3,2018-01-12,4.441324
52_ACTI500_D,2018-01-12,5.021377
52_ACTIPAT_A,2018-01-12,14.845478
52_ACTIPAT_B,2018-01-12,12.061392
52_ACTI500_A,2018-01-15,5.296084
52_ACTI500_B1,2018-01-15,3.893374
52_ACTI500_B2,2018-01-15,4.25029
52_ACTI500_B3,2018-01-15,4.423432
52_ACTI500_D,2018-01-15,5.001063
52_ACTIPAT_A,2018-01-15,14.928634
52_ACTIPAT_B,2018-01-15,12.126002
52_ACTI500_A,2018-01-16,5.248455
52_ACTI500_B1,2018-01-16,3.858053
